date,total_sales,day_of_week,month_name,day,year
2016-11-17,1097.0,Thursday,November,17,2016
2016-11-18,3213.35,Friday,November,18,2016
2016-11-19,6840.5,Saturday,November,19,2016
2016-11-20,6769.6,Sunday,November,20,2016
2016-11-21,387.6,Monday,November,21,2016
2016-11-22,383.4,Tuesday,November,22,2016
2016-11-23,649.0,Wednesday,November,23,2016
2016-11-24,905.7,Thursday,November,24,2016
2016-11-25,3776.5,Friday,November,25,2016
2016-11-26,7777.1,Saturday,November,26,2016
2016-11-27,5368.25,Sunday,November,27,2016
2016-11-28,421.3,Monday,November,28,2016
2016-11-29,649.6,Tuesday,November,29,2016
2016-11-30,1531.7,Wednesday,November,30,2016
2016-12-01,1207.85,Thursday,December,1,2016
2016-12-02,2488.7,Friday,December,2,2016
2016-12-03,6662.85,Saturday,December,3,2016
2016-12-04,6153.2,Sunday,December,4,2016
2016-12-05,2620.85,Monday,December,5,2016
2016-12-06,4060.6,Tuesday,December,6,2016
2016-12-07,1449.65,Wednesday,December,7,2016
2016-12-08,4930.55,Thursday,December,8,2016
2016-12-09,4003.5,Friday,December,9,2016
2016-12-10,5585.75,Saturday,December,10,2016
2016-12-11,3895.9,Sunday,December,11,2016
2016-12-12,804.6,Monday,December,12,2016
2016-12-13,699.6,Tuesday,December,13,2016
2016-12-14,1179.35,Wednesday,December,14,2016
2016-12-15,1727.5,Thursday,December,15,2016
2016-12-16,3346.35,Friday,December,16,2016
2016-12-17,6054.9,Saturday,December,17,2016
2016-12-18,5218.95,Sunday,December,18,2016
2016-12-19,672.2,Monday,December,19,2016
2016-12-20,3118.84,Tuesday,December,20,2016
2016-12-21,2104.9,Wednesday,December,21,2016
2016-12-22,2968.25,Thursday,December,22,2016
2016-12-23,4400.0,Friday,December,23,2016
2016-12-24,1324.7,Saturday,December,24,2016
2016-12-25,3225.6,Sunday,December,25,2016
2016-12-26,5268.35,Monday,December,26,2016
2016-12-27,4508.4,Tuesday,December,27,2016
2016-12-28,4306.0,Wednesday,December,28,2016
2016-12-29,4145.1,Thursday,December,29,2016
2016-12-30,4622.3,Friday,December,30,2016
2016-12-31,798.2,Saturday,December,31,2016
2017-01-01,3312.7,Sunday,January,1,2017
2017-01-02,5114.2,Monday,January,2,2017
2017-01-03,4863.45,Tuesday,January,3,2017
2017-01-04,4926.95,Wednesday,January,4,2017
2017-01-05,2612.45,Thursday,January,5,2017
2017-01-06,4232.9,Friday,January,6,2017
2017-01-07,6464.35,Saturday,January,7,2017
2017-01-08,3933.95,Sunday,January,8,2017
2017-01-09,959.8,Monday,January,9,2017
2017-01-10,574.85,Tuesday,January,10,2017
2017-01-11,1106.4,Wednesday,January,11,2017
2017-01-12,781.8,Thursday,January,12,2017
2017-01-13,2745.7,Friday,January,13,2017
2017-01-14,7606.2,Saturday,January,14,2017
2017-01-15,4714.15,Sunday,January,15,2017
2017-01-16,659.3,Monday,January,16,2017
2017-01-17,687.75,Tuesday,January,17,2017
2017-01-18,450.6,Wednesday,January,18,2017
2017-01-19,928.9,Thursday,January,19,2017
2017-01-20,2687.6,Friday,January,20,2017
2017-01-21,8233.0,Saturday,January,21,2017
2017-01-22,5898.7,Sunday,January,22,2017
2017-01-23,888.35,Monday,January,23,2017
2017-01-24,1065.1,Tuesday,January,24,2017
2017-01-25,1485.7,Wednesday,January,25,2017
2017-01-26,749.3,Thursday,January,26,2017
2017-01-27,3087.15,Friday,January,27,2017
2017-01-28,8542.6,Saturday,January,28,2017
2017-01-29,5807.8,Sunday,January,29,2017
2017-01-30,694.6,Monday,January,30,2017
2017-01-31,493.5,Tuesday,January,31,2017
2017-02-01,1362.15,Wednesday,February,1,2017
2017-02-02,817.7,Thursday,February,2,2017
2017-02-03,3839.2,Friday,February,3,2017
2017-02-04,9545.8,Saturday,February,4,2017
2017-02-05,6178.0,Sunday,February,5,2017
2017-02-06,483.4,Monday,February,6,2017
2017-02-07,775.05,Tuesday,February,7,2017
2017-02-08,838.45,Wednesday,February,8,2017
2017-02-09,791.65,Thursday,February,9,2017
2017-02-10,3448.8,Friday,February,10,2017
2017-02-11,9207.1,Saturday,February,11,2017
2017-02-12,7308.7,Sunday,February,12,2017
2017-02-13,509.5,Monday,February,13,2017
2017-02-14,1124.45,Tuesday,February,14,2017
2017-02-15,753.35,Wednesday,February,15,2017
2017-02-16,1983.7,Thursday,February,16,2017
2017-02-17,3461.45,Friday,February,17,2017
2017-02-18,7437.6,Saturday,February,18,2017
2017-02-19,5000.7,Sunday,February,19,2017
2017-02-20,736.0,Monday,February,20,2017
2017-02-21,533.9,Tuesday,February,21,2017
2017-02-22,522.2,Wednesday,February,22,2017
2017-02-23,991.2,Thursday,February,23,2017
2017-02-24,2700.6,Friday,February,24,2017
2017-02-25,6126.4,Saturday,February,25,2017
2017-02-26,5108.55,Sunday,February,26,2017
2017-02-27,929.75,Monday,February,27,2017
2017-02-28,915.45,Tuesday,February,28,2017
2017-03-01,906.85,Wednesday,March,1,2017
2017-03-02,953.7,Thursday,March,2,2017
2017-03-03,4419.8,Friday,March,3,2017
2017-03-04,9594.25,Saturday,March,4,2017
2017-03-05,5324.5,Sunday,March,5,2017
2017-03-06,392.0,Monday,March,6,2017
2017-03-07,516.5,Tuesday,March,7,2017
2017-03-08,532.35,Wednesday,March,8,2017
2017-03-09,4512.8,Thursday,March,9,2017
2017-03-10,2021.5,Friday,March,10,2017
2017-03-11,5952.9,Saturday,March,11,2017
2017-03-12,4355.8,Sunday,March,12,2017
2017-03-13,577.9,Monday,March,13,2017
2017-03-14,375.6,Tuesday,March,14,2017
2017-03-15,388.8,Wednesday,March,15,2017
2017-03-16,754.35,Thursday,March,16,2017
2017-03-17,2011.5,Friday,March,17,2017
2017-03-18,3755.2,Saturday,March,18,2017
2017-03-19,4434.6,Sunday,March,19,2017
2017-03-20,2519.5,Monday,March,20,2017
2017-03-21,276.15,Tuesday,March,21,2017
2017-03-22,1131.45,Wednesday,March,22,2017
2017-03-23,294.35,Thursday,March,23,2017
2017-03-24,3274.9,Friday,March,24,2017
2017-03-25,8721.25,Saturday,March,25,2017
2017-03-26,5512.35,Sunday,March,26,2017
2017-03-27,1213.25,Monday,March,27,2017
2017-03-28,442.5,Tuesday,March,28,2017
2017-03-29,876.0,Wednesday,March,29,2017
2017-03-30,1171.8,Thursday,March,30,2017
2017-03-31,4385.15,Friday,March,31,2017
2017-04-01,5754.15,Saturday,April,1,2017
2017-04-02,3564.7,Sunday,April,2,2017
2017-04-03,405.5,Monday,April,3,2017
2017-04-04,184.5,Tuesday,April,4,2017
2017-04-05,699.0,Wednesday,April,5,2017
2017-04-06,1376.55,Thursday,April,6,2017
2017-04-07,2934.95,Friday,April,7,2017
2017-04-08,2913.15,Saturday,April,8,2017
2017-04-09,2454.4,Sunday,April,9,2017
2017-04-10,1491.0,Monday,April,10,2017
2017-04-11,1356.8,Tuesday,April,11,2017
2017-04-12,1688.9,Wednesday,April,12,2017
2017-04-13,2988.0,Thursday,April,13,2017
