date,total_sales,day_of_week
2017-09-26,1163.8,Tuesday
2017-09-27,1043.1,Wednesday
2017-09-28,1218.2,Thursday
2017-09-29,2576.3,Friday
2017-09-30,4634.85,Saturday
2017-10-01,3655.75,Sunday
2017-10-02,207.0,Monday
2017-10-03,535.6,Tuesday
2017-10-04,420.05,Wednesday
2017-10-05,750.85,Thursday
2017-10-06,2735.7,Friday
2017-10-07,7184.95,Saturday
2017-10-08,4001.95,Sunday
2017-10-09,961.2,Monday
2017-10-10,447.65,Tuesday
2017-10-11,2054.7,Wednesday
2017-10-12,3473.3,Thursday
2017-10-13,2896.9,Friday
2017-10-14,4287.2,Saturday
2017-10-15,2607.8,Sunday
2017-10-16,259.0,Monday
2017-10-17,501.1,Tuesday
2017-10-18,706.95,Wednesday
2017-10-19,1085.1,Thursday
2017-10-20,6501.35,Friday
2017-10-21,6107.65,Saturday
2017-10-22,3701.05,Sunday
2017-10-23,556.8,Monday
2017-10-24,469.0,Tuesday
2017-10-25,1458.8,Wednesday
2017-10-26,891.4,Thursday
2017-10-27,2316.65,Friday
2017-10-28,5563.2,Saturday
2017-10-29,3445.6,Sunday
2017-10-30,402.6,Monday
2017-10-31,2158.3,Tuesday
2017-11-01,3457.45,Wednesday
2017-11-02,907.5,Thursday
2017-11-03,1876.8,Friday
2017-11-04,7877.4,Saturday
2017-11-05,3924.8,Sunday
2017-11-06,561.5,Monday
2017-11-07,505.7,Tuesday
2017-11-08,1744.7,Wednesday
2017-11-09,4229.15,Thursday
2017-11-10,1965.55,Friday
2017-11-11,6565.35,Saturday
2017-11-12,2900.8,Sunday
2017-11-13,335.6,Monday
2017-11-14,415.5,Tuesday
2017-11-15,627.0,Wednesday
2017-11-16,724.5,Thursday
2017-11-17,2571.5,Friday
2017-11-18,6099.1,Saturday
2017-11-19,4604.5,Sunday
2017-11-20,247.7,Monday
2017-11-21,660.5,Tuesday
2017-11-22,993.45,Wednesday
2017-11-23,879.5,Thursday
2017-11-24,3193.35,Friday
2017-11-25,6632.35,Saturday
2017-11-26,4535.4,Sunday
2017-11-27,168.5,Monday
2017-11-28,710.1,Tuesday
2017-11-29,1171.15,Wednesday
2017-11-30,2660.39,Thursday
2017-12-01,2705.5,Friday
2017-12-02,5704.6,Saturday
2017-12-03,5434.5,Sunday
2017-12-04,460.8,Monday
2017-12-05,1774.4,Tuesday
2017-12-06,4296.05,Wednesday
2017-12-07,4029.85,Thursday
2017-12-08,6862.3,Friday
2017-12-09,5570.2,Saturday
2017-12-10,3441.85,Sunday
2017-12-11,438.0,Monday
2017-12-12,906.4,Tuesday
2017-12-13,632.9,Wednesday
2017-12-14,1007.2,Thursday
2017-12-15,2885.3,Friday
2017-12-16,5891.65,Saturday
2017-12-17,5924.2,Sunday
2017-12-18,1103.3,Monday
2017-12-19,1121.45,Tuesday
2017-12-20,1582.75,Wednesday
2017-12-21,2605.3,Thursday
2017-12-22,3753.45,Friday
2017-12-23,4703.8,Saturday
2017-12-24,1295.2,Sunday
2017-12-25,2814.0,Monday
2017-12-26,4574.15,Tuesday
2017-12-27,4807.6,Wednesday
2017-12-28,5169.45,Thursday
2017-12-29,4856.7,Friday
2017-12-30,6163.4,Saturday
2017-12-31,1429.95,Sunday
2018-01-01,3812.1,Monday
2018-01-02,4436.9,Tuesday
2018-01-03,4801.6,Wednesday
2018-01-04,4074.25,Thursday
