date,day_type,holiday_type,holiday_name
2017-07-17,laborable,,
2017-07-18,laborable,,
2017-07-19,laborable,,
2017-07-20,laborable,,
2017-07-21,laborable,,
2017-07-22,sábado,,
2017-07-23,domingo,,
2017-07-24,laborable,,
2017-07-25,laborable,,
2017-07-26,laborable,,
2017-07-27,laborable,,
2017-07-28,laborable,,
2017-07-29,sábado,,
2017-07-30,domingo,,
2017-07-31,laborable,,
2017-08-01,laborable,,
2017-08-02,laborable,,
2017-08-03,laborable,,
2017-08-04,laborable,,
2017-08-05,sábado,,
2017-08-06,domingo,,
2017-08-07,laborable,,
2017-08-08,laborable,,
2017-08-09,laborable,,
2017-08-10,laborable,,
2017-08-11,laborable,,
2017-08-12,sábado,,
2017-08-13,domingo,,
2017-08-14,laborable,,
2017-08-15,festivo,Festivo nacional,Asuncion de la Virgen
2017-08-16,laborable,,
2017-08-17,laborable,,
2017-08-18,laborable,,
2017-08-19,sábado,,
2017-08-20,domingo,,
2017-08-21,laborable,,
2017-08-22,laborable,,
2017-08-23,laborable,,
2017-08-24,laborable,,
2017-08-25,laborable,,
2017-08-26,sábado,,
2017-08-27,domingo,,
2017-08-28,laborable,,
2017-08-29,laborable,,
2017-08-30,laborable,,
2017-08-31,laborable,,
2017-09-01,laborable,,
2017-09-02,sábado,,
2017-09-03,domingo,,
2017-09-04,laborable,,
2017-09-05,laborable,,
2017-09-06,laborable,,
2017-09-07,laborable,,
2017-09-08,laborable,,
2017-09-09,sábado,,
2017-09-10,domingo,,
2017-09-11,laborable,,
2017-09-12,laborable,,
2017-09-13,laborable,,
2017-09-14,laborable,,
2017-09-15,laborable,,
2017-09-16,sábado,,
2017-09-17,domingo,,
2017-09-18,laborable,,
2017-09-19,laborable,,
2017-09-20,laborable,,
2017-09-21,laborable,,
2017-09-22,laborable,,
2017-09-23,sábado,,
2017-09-24,domingo,,
2017-09-25,laborable,,
2017-09-26,laborable,,
2017-09-27,laborable,,
2017-09-28,laborable,,
2017-09-29,laborable,,
2017-09-30,sábado,,
2017-10-01,domingo,,
2017-10-02,laborable,,
2017-10-03,laborable,,
2017-10-04,laborable,,
2017-10-05,laborable,,
2017-10-06,laborable,,
2017-10-07,sábado,,
2017-10-08,domingo,,
2017-10-09,laborable,,
2017-10-10,laborable,,
2017-10-11,laborable,,
2017-10-12,festivo,Festivo nacional,Fiesta Nacional de España
2017-10-13,laborable,,
2017-10-14,sábado,,
2017-10-15,domingo,,
2017-10-16,laborable,,
2017-10-17,laborable,,
2017-10-18,laborable,,
2017-10-19,laborable,,
2017-10-20,laborable,,
2017-10-21,sábado,,
2017-10-22,domingo,,
2017-10-23,laborable,,
2017-10-24,laborable,,
2017-10-25,laborable,,
2017-10-26,laborable,,
